Node_ID,Recommendation_ID,Action_Type,Estimated_Savings_kWh,Estimated_Cost_Savings_USD,Implementation_Difficulty
Node_16,Rec_34,Optimize Routing,1334.0192602803836,9749.107093911569,Medium
Node_280,Rec_35,Implement Load Balancing,1059.483404026912,3928.3681459804084,Medium
Node_228,Rec_36,Switch Energy Source,471.65582748114315,5924.938017158017,High
Node_256,Rec_37,Optimize Routing,750.4750737645497,1153.5065960092113,High
Node_97,Rec_38,Switch Energy Source,274.56917171218254,3256.481747979233,Medium
Node_97,Rec_39,Implement Load Balancing,1307.949823749613,7168.350929500474,Medium
Node_67,Rec_40,Switch Energy Source,1409.7932916861967,7189.526982090647,Low
Node_282,Rec_41,Optimize Routing,769.8972231119656,9151.550554993883,Low
Node_220,Rec_42,Implement Load Balancing,480.7044818409609,8860.200049445499,Low
Node_224,Rec_43,Switch Energy Source,126.01900044297176,11101.279464398263,Low
Node_196,Rec_44,Upgrade Equipment,1465.0384590765757,13823.039227101543,Low
Node_233,Rec_45,Optimize Routing,456.3752536725677,14166.184825990982,High
Node_260,Rec_46,Upgrade Equipment,109.4728276469831,10825.550224001776,High
Node_235,Rec_47,Switch Energy Source,1173.824759435291,12500.77063886822,Low
Node_57,Rec_48,Switch Energy Source,645.1835817905395,14690.581221873012,Low
Node_56,Rec_49,Upgrade Equipment,325.7396236067457,13634.605798008755,High
Node_169,Rec_50,Upgrade Equipment,1274.8217064955384,2147.4795875212712,Low
Node_22,Rec_51,Optimize Routing,689.6353789885873,8845.219259893183,Low
Node_116,Rec_52,Optimize Routing,710.6749867753848,5535.401102913886,Medium
Node_42,Rec_53,Switch Energy Source,1392.268819511473,861.8506482288262,Low
Node_52,Rec_54,Switch Energy Source,90.31802297280682,12223.00213793109,Low
Node_212,Rec_55,Implement Load Balancing,1150.6855470603202,4289.634053391261,High
Node_185,Rec_56,Switch Energy Source,1182.0676434347267,9667.064844785898,Medium
Node_41,Rec_57,Implement Load Balancing,853.3680338713978,8816.457669856843,Low
Node_12,Rec_58,Switch Energy Source,612.84366312229,6461.318118705466,High
Node_111,Rec_59,Switch Energy Source,382.41711967145733,737.4525825423177,Medium
Node_80,Rec_60,Implement Load Balancing,317.770857921431,3259.213300940556,High
Node_197,Rec_61,Optimize Routing,368.3371619014997,10458.502858911988,Low
Node_189,Rec_62,Upgrade Equipment,690.450366929807,5347.553008377949,Low
Node_19,Rec_63,Optimize Routing,205.97169805170358,8214.245427415099,High
Node_139,Rec_64,Implement Load Balancing,1133.7730123721785,1524.3410524876094,Low
Node_216,Rec_65,Upgrade Equipment,1270.9578474137045,11237.143308340794,Low
Node_53,Rec_66,Upgrade Equipment,772.6645870329379,11602.252408552025,Low
Node_190,Rec_67,Optimize Routing,1414.8323928616876,5327.877727778721,Low
Node_17,Rec_68,Optimize Routing,718.776543881016,1632.1173492722976,Medium
Node_202,Rec_69,Switch Energy Source,485.86921696278193,1933.3252672447684,Low
Node_55,Rec_70,Optimize Routing,1169.7221026697332,1165.9422021796536,High
Node_214,Rec_71,Upgrade Equipment,535.1303325645233,655.441312578901,Medium
Node_197,Rec_72,Implement Load Balancing,561.6100445213616,9177.115555076234,Low
Node_42,Rec_73,Implement Load Balancing,1261.048467969112,3069.502788815319,Medium
Node_170,Rec_74,Switch Energy Source,257.2909817323338,14495.573017071485,Low
Node_52,Rec_75,Implement Load Balancing,335.6759781228839,899.1816589116975,Low
Node_118,Rec_76,Switch Energy Source,1212.9083901038975,9846.817397716852,Medium
Node_27,Rec_77,Upgrade Equipment,1303.899768326472,14386.821625010754,Medium
Node_117,Rec_78,Switch Energy Source,1338.8945201854465,2532.436780474503,Low
Node_122,Rec_79,Implement Load Balancing,1248.9023795354676,10868.764065967656,Low
Node_190,Rec_80,Implement Load Balancing,879.8790846427561,6178.041907793282,Medium
Node_278,Rec_81,Switch Energy Source,478.90263673213457,1446.1191492937637,Low
Node_248,Rec_82,Implement Load Balancing,1456.9613004709252,491.74912277816827,Medium
Node_114,Rec_83,Upgrade Equipment,625.3811818927682,11882.363418488992,Medium
Node_92,Rec_84,Optimize Routing,1094.5739524903172,10788.495333816812,Low
Node_82,Rec_85,Upgrade Equipment,402.5605930494786,13783.349450532221,High
Node_107,Rec_86,Switch Energy Source,1234.567227951537,7560.662815193605,Low
Node_15,Rec_87,Optimize Routing,387.20184606887443,6562.310971245832,Low
Node_10,Rec_88,Optimize Routing,758.1434857765561,7348.129359166742,Medium
Node_79,Rec_89,Upgrade Equipment,228.47729251127083,1936.1515022637684,Low
Node_247,Rec_90,Upgrade Equipment,1331.286922403042,9401.04840319904,Low
Node_216,Rec_91,Optimize Routing,1229.861249705127,2571.349124527324,Low
Node_106,Rec_92,Implement Load Balancing,967.3975325425804,5940.0237259131445,High
Node_57,Rec_93,Optimize Routing,480.5993369979547,1392.7667830866935,Medium
Node_44,Rec_94,Upgrade Equipment,388.1809727212251,11314.989547718951,High
Node_256,Rec_95,Optimize Routing,619.366832018255,13213.448182398826,Medium
Node_284,Rec_96,Switch Energy Source,1383.9161784496819,8884.484559004315,Medium
Node_123,Rec_97,Implement Load Balancing,1153.9613741560497,3931.5956075737517,Low
Node_182,Rec_98,Switch Energy Source,698.327830517898,5381.667237705777,Medium
Node_72,Rec_99,Upgrade Equipment,535.0758000459602,14735.21137139143,Low
Node_241,Rec_100,Optimize Routing,657.8070409054799,9024.840989161843,High
Node_219,Rec_101,Optimize Routing,88.20176658249176,9379.030503232458,High
Node_189,Rec_102,Optimize Routing,239.2831859728514,11180.783806592897,Medium
Node_41,Rec_103,Upgrade Equipment,926.2997822337073,1692.2693983886709,Low
Node_226,Rec_104,Implement Load Balancing,969.4695582698638,8501.940360540195,Low
Node_94,Rec_105,Implement Load Balancing,1127.337164489391,14219.749245306744,Medium
Node_274,Rec_106,Optimize Routing,887.5483182294059,12323.820035288834,Low
Node_242,Rec_107,Switch Energy Source,1415.0186258747508,3986.3312715659113,Low
Node_143,Rec_108,Switch Energy Source,696.5406015051732,7844.895547899922,High
Node_18,Rec_109,Optimize Routing,1480.7326406401924,2069.263883603442,Low
Node_134,Rec_110,Implement Load Balancing,668.756610708946,12410.767389566176,Low
Node_157,Rec_111,Upgrade Equipment,1012.8721936401533,8314.451401733631,Low
Node_127,Rec_112,Implement Load Balancing,102.73763674558498,14903.818807656746,Low
Node_155,Rec_113,Upgrade Equipment,792.968237726824,5853.907324189847,Low
Node_16,Rec_114,Implement Load Balancing,890.7114667974912,13586.329143541861,High
Node_151,Rec_115,Implement Load Balancing,1028.8077408873678,8921.529216022596,Low
Node_270,Rec_116,Optimize Routing,151.62490855342128,10879.407569928135,Medium
Node_279,Rec_117,Implement Load Balancing,1126.027179402036,8324.742762559372,Low
Node_15,Rec_118,Switch Energy Source,649.4187611163038,12404.988748134303,Medium
Node_65,Rec_119,Switch Energy Source,390.3983044272125,12880.23594052242,Medium
Node_243,Rec_120,Optimize Routing,824.1832886242456,2966.446469224786,High
Node_239,Rec_121,Switch Energy Source,854.5554154019451,11249.658716550959,Low
Node_222,Rec_122,Implement Load Balancing,876.5535548151847,7364.331563880699,Low
Node_239,Rec_123,Implement Load Balancing,887.2189972518383,12955.431246202214,Medium
Node_32,Rec_124,Optimize Routing,600.3265620450345,3116.7739422740356,Low
Node_9,Rec_125,Implement Load Balancing,482.0213329353213,4495.399794526561,High
Node_101,Rec_126,Upgrade Equipment,679.7396794758159,10664.925268660076,Low
Node_299,Rec_127,Implement Load Balancing,547.7999018182932,12394.794782543971,Low
Node_172,Rec_128,Upgrade Equipment,187.18254050644714,9579.730774821726,Low
Node_11,Rec_129,Implement Load Balancing,456.54903558304943,5509.0652221561695,Low
Node_44,Rec_130,Optimize Routing,930.445076372689,4830.198144677092,Medium
Node_113,Rec_131,Implement Load Balancing,145.82019850215292,9970.169171817251,Medium
Node_257,Rec_132,Upgrade Equipment,358.4785341591193,3669.030818759716,Low
Node_27,Rec_133,Upgrade Equipment,287.24599767063273,3997.7499071795237,Medium
Node_149,Rec_134,Switch Energy Source,1071.8495679468278,8957.007270009874,High
Node_280,Rec_135,Upgrade Equipment,627.340501173978,2396.3394570289097,Low
Node_279,Rec_136,Upgrade Equipment,1163.1930690421675,8291.29596485636,Medium
Node_62,Rec_137,Implement Load Balancing,1062.8724574406094,14609.951892805311,Low
Node_250,Rec_138,Implement Load Balancing,353.5770294550792,8486.895802515743,Low
Node_196,Rec_139,Optimize Routing,302.88880315269876,10277.476974622476,High
Node_223,Rec_140,Upgrade Equipment,552.1770426597977,5649.116744779675,High
Node_202,Rec_141,Switch Energy Source,1203.2389326654281,6048.808725403921,Medium
Node_181,Rec_142,Implement Load Balancing,1001.9555480345101,12436.023612259181,Low
Node_78,Rec_143,Optimize Routing,1316.5287870730897,11947.311997921277,High
Node_154,Rec_144,Implement Load Balancing,879.0008985102372,7086.751519635644,Low
Node_256,Rec_145,Upgrade Equipment,1066.8578158176656,11573.770160654927,Medium
Node_298,Rec_146,Switch Energy Source,879.1324387047213,9358.272291706073,High
Node_251,Rec_147,Switch Energy Source,248.1127100758719,9708.9397727022,Low
Node_69,Rec_148,Optimize Routing,371.62625185191257,4910.312551747225,Low
Node_48,Rec_149,Implement Load Balancing,425.32540600533696,4784.695184673305,Low
Node_13,Rec_150,Optimize Routing,1088.7355944855262,5201.640390965326,Low
Node_124,Rec_151,Switch Energy Source,1487.0261678091933,1995.5705285042195,Medium
Node_3,Rec_152,Upgrade Equipment,1269.0117881271478,12523.953464363925,Low
Node_208,Rec_153,Optimize Routing,1144.6873219715505,2641.9193374930674,Medium
Node_250,Rec_154,Implement Load Balancing,1356.2366697212813,2734.23250770146,Medium
Node_267,Rec_155,Implement Load Balancing,697.6566082001499,133.85289857981138,Medium
Node_256,Rec_156,Implement Load Balancing,1094.514049436275,8237.053740139836,High
Node_249,Rec_157,Implement Load Balancing,1473.9677921777964,11179.181059685898,Low
Node_223,Rec_158,Optimize Routing,1139.4425373536938,2717.8437533429874,Low
Node_120,Rec_159,Implement Load Balancing,1342.4177294367764,13127.740685493749,High
Node_107,Rec_160,Optimize Routing,1058.5270797770277,4473.834121729701,Medium
Node_297,Rec_161,Implement Load Balancing,832.7819761748508,12236.532511232363,Low
Node_273,Rec_162,Switch Energy Source,1473.714293027616,5278.197822919284,Low
Node_196,Rec_163,Upgrade Equipment,587.5826804811495,3930.0940985989787,Low
Node_89,Rec_164,Switch Energy Source,781.7034814499754,7194.901955763598,Low
Node_194,Rec_165,Upgrade Equipment,1121.2333834022668,6096.41624241069,Low
Node_204,Rec_166,Upgrade Equipment,388.95011652240754,7716.634081674547,Medium
Node_85,Rec_167,Upgrade Equipment,1473.3515695024469,5289.763815736728,Low
Node_25,Rec_168,Optimize Routing,1350.178522102717,7489.241872929161,Low
Node_274,Rec_169,Switch Energy Source,112.47660065332897,822.3327133911589,Low
Node_49,Rec_170,Implement Load Balancing,336.86539554899196,11146.553706716055,Low
Node_213,Rec_171,Implement Load Balancing,304.4143156440579,8616.35512860182,Medium
Node_161,Rec_172,Upgrade Equipment,365.4652985310404,1045.3556594037213,Low
Node_72,Rec_173,Optimize Routing,756.2220592594288,13376.11836163491,High
Node_60,Rec_174,Upgrade Equipment,633.2867840114498,12073.991752078184,High
Node_79,Rec_175,Upgrade Equipment,684.5318046330746,4314.095108145591,Low
Node_293,Rec_176,Switch Energy Source,1173.8298238130033,11969.298635831916,Medium
Node_122,Rec_177,Switch Energy Source,1009.9866185447796,7436.442739031011,Low
Node_118,Rec_178,Upgrade Equipment,1208.2207632945367,14116.784418613424,Medium
Node_102,Rec_179,Optimize Routing,282.4455752058003,1490.4687988935732,Medium
Node_119,Rec_180,Switch Energy Source,1406.3889310824502,9910.54530681499,Medium
Node_83,Rec_181,Optimize Routing,635.4692576904072,3572.9631623358273,Low
Node_40,Rec_182,Optimize Routing,54.9066213576187,485.8458650100028,Medium
Node_167,Rec_183,Upgrade Equipment,914.1356534510182,8992.61160454091,Low
Node_211,Rec_184,Switch Energy Source,387.8372541635598,10234.65981160841,High
Node_285,Rec_185,Implement Load Balancing,904.2381500062377,14853.744744167563,High
Node_25,Rec_186,Switch Energy Source,965.4421368637238,11711.545667589602,High
Node_192,Rec_187,Optimize Routing,1450.6984077479135,12706.739511006317,Low
Node_106,Rec_188,Implement Load Balancing,1149.8179680637138,6987.765540883168,High
Node_53,Rec_189,Upgrade Equipment,946.6043676655532,12440.821802988015,High
Node_199,Rec_190,Optimize Routing,182.60025608606063,4464.09107401919,Low
Node_210,Rec_191,Switch Energy Source,774.689346699598,11677.904320513853,Low
Node_271,Rec_192,Optimize Routing,1369.5416957801692,9919.22162436546,Medium
Node_58,Rec_193,Implement Load Balancing,140.17946848966537,3384.2382188878937,Low
Node_34,Rec_194,Upgrade Equipment,485.9403836245548,12737.392395541377,Low
Node_211,Rec_195,Switch Energy Source,570.0976766653297,14519.771564322205,High
Node_74,Rec_196,Optimize Routing,89.54830652641479,4374.954988098171,Low
Node_228,Rec_197,Upgrade Equipment,193.98234878628045,14619.352215114857,Low
Node_58,Rec_198,Switch Energy Source,962.2493211689624,9918.424653721753,High
Node_52,Rec_199,Implement Load Balancing,1199.6374458957282,14585.598502383522,Low
Node_279,Rec_200,Implement Load Balancing,385.58076204267155,3240.339728892024,Low
Node_7,Rec_201,Optimize Routing,118.07725972669185,14597.935182322932,High
Node_76,Rec_202,Upgrade Equipment,137.09660216825165,11550.046051418543,Low
Node_20,Rec_203,Implement Load Balancing,252.9723413097662,11473.667444742323,Low
Node_79,Rec_204,Implement Load Balancing,1044.6212778792,13428.868765315747,High
Node_265,Rec_205,Optimize Routing,1063.4936971229308,11055.218161255863,Medium
Node_299,Rec_206,Optimize Routing,628.5053844003784,12912.388133055621,High
Node_88,Rec_207,Switch Energy Source,867.9543727210238,3952.16713580361,High
Node_243,Rec_208,Optimize Routing,1209.94855889077,597.8932638790241,Low
Node_100,Rec_209,Upgrade Equipment,1355.061167502727,14968.130936525073,High
Node_26,Rec_210,Implement Load Balancing,1456.671987975658,14180.288330009851,Medium
Node_209,Rec_211,Switch Energy Source,1486.7996610457558,1850.2194668855532,Low
Node_130,Rec_212,Switch Energy Source,953.5642818174535,4877.621503009681,Low
Node_96,Rec_213,Upgrade Equipment,791.9623072744627,9042.277487276338,Low
Node_78,Rec_214,Switch Energy Source,765.2558921409409,11626.413932035864,Low
Node_28,Rec_215,Optimize Routing,106.13765586740105,2597.0619380295593,Low
Node_146,Rec_216,Implement Load Balancing,847.872488240023,11541.126698897528,Medium
Node_178,Rec_217,Switch Energy Source,553.1148584694724,3950.9437236370063,High
Node_260,Rec_218,Upgrade Equipment,650.4396713548363,6010.953768240094,High
Node_198,Rec_219,Upgrade Equipment,666.970204705653,10754.496051955148,High
Node_230,Rec_220,Optimize Routing,106.33867196850863,3160.501294523186,Medium
Node_49,Rec_221,Implement Load Balancing,494.69266818493617,14221.16233196159,Low
Node_116,Rec_222,Optimize Routing,1075.05497256406,9316.586804551644,Low
Node_58,Rec_223,Upgrade Equipment,490.55317671278715,4212.953264177643,Low
Node_10,Rec_224,Upgrade Equipment,574.9638333716703,13614.108418805623,Low
Node_233,Rec_225,Switch Energy Source,361.0026730644811,3907.892440916979,Low
Node_115,Rec_226,Upgrade Equipment,1333.4214306400636,11082.078514836114,High
Node_167,Rec_227,Upgrade Equipment,1177.155185626365,12323.799789622402,Medium
Node_215,Rec_228,Upgrade Equipment,333.32378064234547,11832.100125742341,High
Node_30,Rec_229,Implement Load Balancing,1167.5578061553438,13046.15083275839,Low
Node_162,Rec_230,Switch Energy Source,1343.417837519735,14947.539043632549,High
Node_262,Rec_231,Implement Load Balancing,588.5870134206833,8140.999696659472,Medium
Node_141,Rec_232,Switch Energy Source,994.525930878525,2367.0372337453127,Low
Node_218,Rec_233,Implement Load Balancing,1145.0039772339233,5192.253026158074,Medium
Node_193,Rec_234,Switch Energy Source,1300.2671475959053,10373.11231324943,High
Node_167,Rec_235,Switch Energy Source,261.2243733497351,8296.013682870407,Medium
Node_243,Rec_236,Upgrade Equipment,92.57382440660793,11475.99355918444,High
Node_138,Rec_237,Switch Energy Source,1197.0772386063475,9452.074909685241,Low
Node_298,Rec_238,Switch Energy Source,812.8047883676744,10554.932250696664,High
Node_261,Rec_239,Implement Load Balancing,1004.0232774062871,8190.525091436717,Medium
Node_135,Rec_240,Implement Load Balancing,868.7169370797776,8696.626166123722,Low
Node_205,Rec_241,Upgrade Equipment,1080.923907597603,1047.7854597705134,Low
Node_293,Rec_242,Optimize Routing,514.0959582130993,11855.928647505358,Medium
Node_300,Rec_243,Switch Energy Source,171.49141379680327,9393.44938549309,High
Node_37,Rec_244,Upgrade Equipment,127.21900048103643,1593.4771607036175,High
Node_7,Rec_245,Optimize Routing,999.1056789306854,3559.931934430193,Medium
Node_25,Rec_246,Implement Load Balancing,1435.291274042589,12590.846860023794,High
Node_274,Rec_247,Optimize Routing,71.99332439006886,4092.846836875751,Low
Node_287,Rec_248,Implement Load Balancing,1288.278270437503,465.54200313478697,Low
Node_155,Rec_249,Optimize Routing,63.453406723418446,10716.745448918937,High
Node_243,Rec_250,Upgrade Equipment,174.98472406637683,7307.332179150265,Low
Node_222,Rec_251,Optimize Routing,900.1886285895578,8441.13844953272,Low
Node_218,Rec_252,Optimize Routing,780.2284184428971,7088.829971484448,Low
Node_215,Rec_253,Switch Energy Source,1363.756458045173,3543.2509190310343,Low
Node_59,Rec_254,Switch Energy Source,668.6012262276989,11790.836139795767,Medium
Node_6,Rec_255,Optimize Routing,81.5695329334456,4826.23640506047,Low
Node_204,Rec_256,Implement Load Balancing,1407.1393604317939,11979.288597841978,Low
Node_248,Rec_257,Optimize Routing,959.2836751471783,2110.8588936491387,Low
Node_188,Rec_258,Switch Energy Source,632.1363582699615,14462.84553754725,Medium
Node_82,Rec_259,Optimize Routing,1093.6281368768282,14560.532485377205,High
Node_188,Rec_260,Optimize Routing,1136.7943307835603,6557.762060597896,High
Node_193,Rec_261,Optimize Routing,581.1864085930848,8655.95358840902,Low
Node_18,Rec_262,Switch Energy Source,340.9619421143029,3693.966014143629,Low
Node_21,Rec_263,Switch Energy Source,1472.6423164869234,12055.828232426433,Medium
Node_290,Rec_264,Switch Energy Source,833.7598859456818,1680.5292624146766,Medium
Node_209,Rec_265,Upgrade Equipment,507.73486520953776,14535.788897913651,High
Node_120,Rec_266,Implement Load Balancing,345.2380369930067,8126.661332282827,Medium
Node_244,Rec_267,Switch Energy Source,984.4389720638857,14959.776255074987,Low
Node_161,Rec_268,Implement Load Balancing,277.62005846351735,11859.167741378178,Low
Node_86,Rec_269,Switch Energy Source,1047.1216394302248,4786.50462933713,Medium
Node_279,Rec_270,Upgrade Equipment,1302.6219062945377,5570.85020796292,Low
Node_88,Rec_271,Switch Energy Source,124.34961978741474,5851.045201206791,High
Node_77,Rec_272,Upgrade Equipment,246.97580544101191,2973.511632720323,High
Node_259,Rec_273,Optimize Routing,1294.4500612440004,9009.760826360509,Medium
Node_80,Rec_274,Optimize Routing,702.7801022250886,14678.032529096887,High
Node_153,Rec_275,Upgrade Equipment,1438.845809771555,10904.279169054193,Low
Node_6,Rec_276,Switch Energy Source,760.9182527065384,9167.171602348202,Low
Node_262,Rec_277,Implement Load Balancing,1017.7782482142526,3386.680414448494,Medium
Node_291,Rec_278,Upgrade Equipment,766.6042647948732,12531.249116299596,Low
Node_223,Rec_279,Implement Load Balancing,1465.2787192875874,2177.2696113633638,Low
Node_162,Rec_280,Optimize Routing,1279.6008926801467,1698.442520135876,High
Node_47,Rec_281,Switch Energy Source,1382.7408419792782,10293.357055664264,Medium
Node_271,Rec_282,Upgrade Equipment,752.581626664534,3101.3589280204715,Low
Node_251,Rec_283,Implement Load Balancing,1190.1535032058698,8957.858157450912,Low
Node_58,Rec_284,Implement Load Balancing,1261.1627148848515,1974.850840762595,Low
Node_249,Rec_285,Optimize Routing,638.8804288688357,10532.482066364366,High
Node_259,Rec_286,Upgrade Equipment,421.2251207931398,14430.901869783764,Low
Node_295,Rec_287,Implement Load Balancing,1069.4716292119165,6728.768761561792,Medium
Node_268,Rec_288,Optimize Routing,142.71467979507392,7005.909734750024,High
Node_64,Rec_289,Optimize Routing,994.1130210180826,5672.21008489609,Low
Node_90,Rec_290,Implement Load Balancing,893.7499504258684,8321.696207829411,High
Node_186,Rec_291,Optimize Routing,117.01813136609616,10079.922110109525,Low
Node_46,Rec_292,Optimize Routing,765.8565869127676,14165.77194853029,Medium
Node_221,Rec_293,Optimize Routing,339.31294198454725,226.79475871098356,Low
Node_279,Rec_294,Optimize Routing,1418.745462063023,12451.133557747857,Low
Node_208,Rec_295,Upgrade Equipment,1445.3810489595007,10673.751705060606,Low
Node_115,Rec_296,Upgrade Equipment,123.66081683355459,11087.935835739972,High
Node_189,Rec_297,Implement Load Balancing,634.4666230779079,8265.169717674444,Medium
Node_63,Rec_298,Implement Load Balancing,841.9372204487386,861.1714198986275,Low
Node_89,Rec_299,Optimize Routing,1230.6201139820903,3704.821409368956,Low
Node_5,Rec_300,Implement Load Balancing,1453.072133178853,14778.964133101419,High
Node_274,Rec_301,Implement Load Balancing,398.8042706755257,966.3534604766246,High
Node_247,Rec_302,Optimize Routing,687.7720721345122,3794.0092455510626,Low
Node_149,Rec_303,Optimize Routing,216.8960323002451,12364.015581641775,Low
Node_246,Rec_304,Optimize Routing,827.6636940800348,8528.544517796649,High
Node_17,Rec_305,Switch Energy Source,566.189933115488,7683.349982389608,High
Node_295,Rec_306,Upgrade Equipment,1468.3363089798206,14785.56727029904,High
Node_59,Rec_307,Switch Energy Source,524.4288285837558,14165.461871919784,Medium
Node_77,Rec_308,Upgrade Equipment,831.3937242672222,7063.317247006531,Low
Node_105,Rec_309,Upgrade Equipment,76.35022982842116,14623.28723182712,Medium
Node_164,Rec_310,Switch Energy Source,868.201315913474,9382.997927640658,Low
Node_258,Rec_311,Implement Load Balancing,842.3309665869489,9076.078016804506,Medium
Node_287,Rec_312,Switch Energy Source,746.8574102218063,4625.200876321844,Medium
Node_55,Rec_313,Upgrade Equipment,297.16522321009074,8756.28466395602,Low
Node_231,Rec_314,Implement Load Balancing,399.55985841564666,10301.014625812813,Medium
Node_168,Rec_315,Upgrade Equipment,1041.0900403272735,12236.371093749334,Low
Node_244,Rec_316,Switch Energy Source,174.6547356441849,10569.67314903124,Medium
Node_84,Rec_317,Implement Load Balancing,539.7603251089042,4451.670196046429,Low
Node_187,Rec_318,Upgrade Equipment,61.574895369988795,6522.562281706934,Low
Node_21,Rec_319,Implement Load Balancing,766.3034007363362,14296.163111441234,High
Node_150,Rec_320,Switch Energy Source,679.2546516211917,4248.655888843243,Medium
Node_83,Rec_321,Upgrade Equipment,526.9604830370622,10396.724265584144,Low
Node_62,Rec_322,Implement Load Balancing,1408.1278115888517,14431.253270640686,High
Node_235,Rec_323,Upgrade Equipment,1498.568648228913,2523.965040505953,High
Node_93,Rec_324,Upgrade Equipment,244.59167187719058,10301.675763810736,Medium
Node_163,Rec_325,Upgrade Equipment,396.55755991121003,13439.29163107262,Low
Node_195,Rec_326,Upgrade Equipment,1475.1002440677146,9438.892997972533,Low
Node_168,Rec_327,Switch Energy Source,1010.2965850430759,10995.15731297454,Low
Node_14,Rec_328,Optimize Routing,909.9951453750517,3210.901431027961,Low
Node_251,Rec_329,Upgrade Equipment,1237.2187489359912,13279.041904174923,Low
Node_134,Rec_330,Optimize Routing,71.07968055255249,3098.9509388189804,High
Node_22,Rec_331,Switch Energy Source,840.0178171254381,9663.478092145131,Low
Node_153,Rec_332,Optimize Routing,715.5049813068665,12223.75266355959,Medium
Node_77,Rec_333,Implement Load Balancing,607.9276716216708,2877.1884521610345,High
Node_238,Rec_334,Switch Energy Source,301.3081312940775,12627.770464581412,Medium
Node_121,Rec_335,Switch Energy Source,695.7841634212258,4885.412160372662,High
Node_179,Rec_336,Optimize Routing,1163.3750184478345,5926.938458373964,Low
Node_159,Rec_337,Switch Energy Source,481.22944891195874,10713.088543170674,High
Node_49,Rec_338,Optimize Routing,857.944114046492,482.14963205863467,High
Node_282,Rec_339,Switch Energy Source,84.40893405430069,13704.905551261134,Low
Node_168,Rec_340,Upgrade Equipment,1068.3244576745687,3445.5683268416296,Medium
Node_249,Rec_341,Upgrade Equipment,1449.1585775744238,8020.494442241219,Low
Node_161,Rec_342,Optimize Routing,211.13362895709048,5240.131165410763,Low
Node_182,Rec_343,Upgrade Equipment,764.8620284179376,10261.061661780515,High
Node_174,Rec_344,Switch Energy Source,825.8794102523527,349.77961526608846,Low
Node_93,Rec_345,Implement Load Balancing,505.5671317759031,6635.318212372851,Low
Node_133,Rec_346,Switch Energy Source,91.51134705952938,13929.162261315081,Low
Node_263,Rec_347,Optimize Routing,745.2179812826553,3000.55243188662,Medium
Node_151,Rec_348,Implement Load Balancing,886.8203711923804,12573.109019480538,Medium
Node_46,Rec_349,Upgrade Equipment,464.34783900396474,6269.430710925671,Low
Node_161,Rec_350,Implement Load Balancing,1409.719406208042,12478.964488436943,Low
