Log_ID,Node_ID,Issue_Type,Resolution_Time_Hours,Technician_ID,Type,Region,Latitude,Longitude,Population_Served,Connectivity_Status,Existing_Infrastructure
Log_26,Node_113,Hardware,32.92166101862735,Tech_26,School,South Africa,-24.34752759082663,28.690991940396003,1493,Connected,Yes
Log_27,Node_193,Hardware,24.73716364150006,Tech_27,School,Antarctica,-78.15973453306174,64.86987189688517,19945,Connected,No
Log_28,Node_3,Hardware,62.93273602335238,Tech_28,School,Russia,58.4479846877519,165.41787174020214,573,Connected,No
Log_29,Node_53,Connectivity,9.71088277141854,Tech_29,Health Center,Antarctica,-73.85172529983565,177.05462828999396,9829,Connected,No
Log_30,Node_295,Connectivity,66.35880265007064,Tech_30,School,South Atlantic Ocean,-57.32676312777097,-6.046765145850486,9960,Connected,Yes
Log_31,Node_113,Hardware,94.19728648420708,Tech_1,School,South Africa,-24.34752759082663,28.690991940396003,1493,Connected,Yes
Log_32,Node_125,Software,84.56897999178936,Tech_2,School,Norway,67.1675615651996,3.148166895696903,17575,Connected,Yes
Log_33,Node_62,Hardware,36.68306954648172,Tech_3,School,Indian Ocean,-17.545657449494797,75.72125935993671,5106,Connected,Yes
Log_34,Node_201,Hardware,41.56204491446072,Tech_4,School,Namibia,-21.64554736014287,21.005986899715936,13290,Connected,Yes
Log_35,Node_110,Software,69.16356597013339,Tech_5,School,Pacific Ocean,50.34551530472044,-145.82447847948728,1077,Connected,Yes
Log_36,Node_143,Software,9.546934711972286,Tech_6,School,Pacific Ocean,-52.86025827713931,178.1436784179437,1953,Connected,Yes
Log_37,Node_269,Software,4.597116172419484,Tech_7,Government Office,Portugal,49.24631608934431,-21.555268454963112,16803,Connected,Yes
Log_38,Node_156,Hardware,95.02468135592474,Tech_8,School,China,42.57328774046815,97.7856187205934,16798,Unconnected,Yes
Log_39,Node_103,Connectivity,69.98937620241024,Tech_9,School,Russia,75.54156776760342,156.00215852304927,7172,Unconnected,Yes
Log_40,Node_136,Connectivity,2.099771256170496,Tech_10,Health Center,Russia,65.46915438091713,153.2036071632391,1054,Connected,No
Log_41,Node_183,Software,6.114508994377855,Tech_11,School,Russia,76.45487525594322,99.76882263560714,9766,Connected,Yes
Log_42,Node_275,Software,65.99828331086249,Tech_12,School,Greenland,82.25697321863018,-77.09482350282619,13668,Connected,Yes
Log_43,Node_167,Software,35.87249759126939,Tech_13,School,Pacific Ocean,-12.36645357196808,-124.99769933684092,2442,Connected,Yes
Log_44,Node_12,Hardware,72.82656641190383,Tech_14,Health Center,Antarctica,-67.44400430545093,90.978058959608,4291,Connected,No
Log_45,Node_89,Hardware,49.31804505879367,Tech_15,School,Ukraine,49.1390730375025,33.948883726432285,8631,Unconnected,Yes
Log_46,Node_43,Hardware,6.46545960913708,Tech_16,Health Center,Atlantic Ocean,-11.11696902165518,-7.160361060139053,17817,Connected,Yes
Log_47,Node_106,Software,25.114537146076547,Tech_17,Health Center,Indian Ocean,-11.656310252147009,46.544111301465534,5544,Unconnected,Yes
Log_48,Node_196,Software,80.50340602625404,Tech_18,School,Atlantic Ocean,32.88556685440419,-39.87855558436769,2023,Unconnected,No
Log_49,Node_242,Software,67.27625999697308,Tech_19,School,Antarctica,-85.53511801415237,-51.16132153617088,16171,Unconnected,Yes
Log_50,Node_234,Hardware,91.73750720945436,Tech_20,Health Center,Canada,60.52380532629792,-101.1273044141386,15119,Connected,Yes
Log_51,Node_192,Connectivity,12.102031905112666,Tech_21,School,Greenland,79.4978724896371,-67.57333344452375,17638,Connected,Yes
Log_52,Node_231,Hardware,93.45093276988902,Tech_22,School,Argentina,-47.528563301990665,-65.23899416800509,5866,Unconnected,Yes
Log_53,Node_204,Hardware,58.13394212583558,Tech_23,School,Antarctica,-84.72622635798626,12.79391547864708,14276,Connected,Yes
Log_54,Node_11,Hardware,26.858242730101527,Tech_24,Government Office,Pacific Ocean,29.347082078110063,165.64486271865604,2399,Unconnected,No
Log_55,Node_3,Hardware,76.84427311788602,Tech_25,School,Russia,58.4479846877519,165.41787174020214,573,Connected,No
Log_56,Node_115,Hardware,6.369577469845474,Tech_26,School,Bolivia,-18.670175256391488,-61.717315856523456,17399,Unconnected,Yes
Log_57,Node_165,Connectivity,70.98912771467388,Tech_27,School,Australia,-42.83943823369546,136.2490372091193,16514,Unconnected,No
Log_58,Node_279,Hardware,23.2827640532653,Tech_28,School,Russia,68.80042375211701,122.868314989836,15152,Unconnected,Yes
Log_59,Node_66,Hardware,39.79261947099046,Tech_29,School,Atlantic Ocean,-5.619753422319448,-6.918600453962682,19799,Connected,Yes
Log_60,Node_134,Hardware,2.078339464516007,Tech_30,School,Atlantic Ocean,37.28216593734223,-62.62905180420072,6013,Unconnected,No
Log_61,Node_7,Connectivity,87.74538065216795,Tech_1,School,French Guiana,5.352001107793242,-53.81027016063706,3637,Connected,Yes
Log_62,Node_239,Software,40.98704973887988,Tech_2,School,Russia,61.59205688984531,167.5798459764324,12141,Connected,Yes
Log_63,Node_66,Software,33.44834219949687,Tech_3,School,Atlantic Ocean,-5.619753422319448,-6.918600453962682,19799,Connected,Yes
Log_64,Node_153,Software,22.682135116879955,Tech_4,School,Angola,-15.768369675970078,18.527810417217296,18253,Connected,Yes
Log_65,Node_292,Software,74.6595710220433,Tech_5,School,Antarctica,-74.28360758095599,-63.1562561089947,16098,Connected,Yes
Log_66,Node_182,Software,61.57054017850556,Tech_6,School,South Africa,25.07699265789357,-37.89285639296787,15560,Unconnected,Yes
Log_67,Node_83,Connectivity,17.1273042117807,Tech_7,School,Taiwan,23.490552508423026,121.60503441587936,2358,Connected,Yes
Log_68,Node_193,Hardware,13.922823462425466,Tech_8,School,Antarctica,-78.15973453306174,64.86987189688517,19945,Connected,No
Log_69,Node_229,Software,56.59423015501495,Tech_9,School,Italy,40.32518340654116,10.873362103071829,15867,Unconnected,Yes
Log_70,Node_80,Software,27.83458241755982,Tech_10,School,South Atlantic Ocean,-58.394940366575824,46.66813165846435,5065,Unconnected,Yes
Log_71,Node_31,Software,53.42090483152572,Tech_11,Health Center,United States,32.75713573499803,-74.7389026423518,374,Connected,Yes
Log_72,Node_258,Software,11.431832953535412,Tech_12,School,Australia,-43.65414831533983,117.59028264930488,4763,Connected,Yes
Log_73,Node_188,Connectivity,78.93568782554206,Tech_13,Health Center,Pacific Ocean,81.57449093209664,-148.05839123643827,19291,Connected,No
Log_74,Node_10,Software,52.04569503271658,Tech_14,Health Center,Russia,83.25545023596217,110.66448755210403,3207,Connected,Yes
Log_75,Node_232,Software,9.193394308818736,Tech_15,School,United States,34.80057194370286,-92.05115477080072,6458,Connected,Yes
Log_76,Node_14,Connectivity,28.13190720257932,Tech_16,School,United States,28.71561218158521,-79.30162427616526,13933,Connected,Yes
Log_77,Node_295,Software,27.55894889852205,Tech_17,School,South Atlantic Ocean,-57.32676312777097,-6.046765145850486,9960,Connected,Yes
Log_78,Node_271,Hardware,77.37941766684028,Tech_18,Health Center,Indian Ocean,-58.04602455116861,84.67586809390957,15126,Connected,No
Log_79,Node_186,Hardware,43.16015449863402,Tech_19,School,Russia,79.75094148128366,40.13124235841872,17576,Connected,Yes
Log_80,Node_134,Hardware,13.6437642879731,Tech_20,School,Atlantic Ocean,37.28216593734223,-62.62905180420072,6013,Unconnected,No
Log_81,Node_41,Connectivity,17.73481021187436,Tech_21,School,Canada,54.34938897361624,-114.01916764675116,16696,Connected,Yes
Log_82,Node_172,Hardware,60.141317592535394,Tech_22,Health Center,South Africa,-46.3372922079296,82.70497902125703,812,Connected,No
Log_83,Node_40,Software,45.85299648532793,Tech_23,School,Antarctica,-86.17497735782159,144.2210700811632,1243,Connected,Yes
Log_84,Node_34,Hardware,1.973546212385132,Tech_24,Government Office,Canada,77.90136032400798,-131.02613757716884,17113,Connected,Yes
Log_85,Node_45,Connectivity,85.34163785653458,Tech_25,School,Pacific Ocean,-47.72551359402648,165.61048759650777,903,Connected,Yes
Log_86,Node_263,Software,65.28828577234127,Tech_26,School,Canada,58.66429849314429,-44.3155769694564,9261,Unconnected,Yes
Log_87,Node_75,Hardware,86.14237241954974,Tech_27,Health Center,Indian Ocean,-29.40541215477644,95.34997395235098,6736,Connected,No
Log_88,Node_156,Hardware,35.185283931772354,Tech_28,School,China,42.57328774046815,97.7856187205934,16798,Unconnected,Yes
Log_89,Node_246,Software,41.73985416420348,Tech_29,Health Center,Chile,-20.49033902329286,-67.83139175962012,16062,Connected,Yes
Log_90,Node_286,Software,76.22340971504825,Tech_30,Government Office,Russia,75.07336310169893,90.2750047688246,8936,Connected,Yes
Log_91,Node_209,Software,87.55736301445995,Tech_1,Health Center,Indian Ocean,-27.66169691531382,73.27174432298744,8817,Connected,Yes
Log_92,Node_152,Connectivity,66.34837485680667,Tech_2,School,Pacific Ocean,30.64823144932677,160.62710208401654,13767,Connected,Yes
Log_93,Node_206,Connectivity,78.9750835169194,Tech_3,School,Canada,60.1015218753449,-130.4410614295831,1284,Connected,Yes
Log_94,Node_287,Software,72.22744208149753,Tech_4,Health Center,Pacific Ocean,-43.85922672729572,165.90293851362276,5785,Unconnected,Yes
Log_95,Node_29,Software,17.3852658713186,Tech_5,School,Indian Ocean,-13.105581291156511,87.44136434779375,2566,Connected,Yes
Log_96,Node_78,Software,36.87182645608247,Tech_6,Health Center,Japan,40.966873650181896,140.48332883548653,2511,Connected,No
Log_97,Node_153,Software,18.7725076275362,Tech_7,School,Angola,-15.768369675970078,18.527810417217296,18253,Connected,Yes
Log_98,Node_150,Hardware,69.5544139619179,Tech_8,School,Argentina,-41.8312535940036,-68.62517795709955,18267,Connected,Yes
Log_99,Node_61,Software,20.063983485274345,Tech_9,School,Antarctica,-78.08400202371811,-49.18326941276945,249,Unconnected,Yes
Log_100,Node_73,Hardware,60.10299068294202,Tech_10,School,United States,41.1983428291835,-104.82970794708342,6934,Unconnected,Yes
Log_101,Node_261,Connectivity,78.62184892726727,Tech_11,School,Pacific Ocean,-31.19164531162032,-131.15323424224513,4740,Connected,No
Log_102,Node_30,Hardware,45.92512795098271,Tech_12,Health Center,Peru,-14.595860089478094,-72.53804127696715,16952,Connected,No
Log_103,Node_179,Software,36.78053024563134,Tech_13,School,Chile,-72.20089382349616,-30.59671559486412,10076,Connected,Yes
Log_104,Node_262,Software,9.817845296317184,Tech_14,Government Office,Indian Ocean,-32.11730664940634,91.80209531286972,10586,Unconnected,Yes
Log_105,Node_178,Software,78.21546717381379,Tech_15,School,Pacific Ocean,-66.61701500536083,-134.9489911507235,12438,Unconnected,No
Log_106,Node_276,Software,44.40309256225067,Tech_16,Health Center,Turkey,42.4109821030961,28.76270182410792,15700,Connected,No
Log_107,Node_290,Connectivity,30.580195657880427,Tech_17,School,Brazil,-19.71639711987073,-34.373585289548714,17410,Unconnected,Yes
Log_108,Node_31,Connectivity,21.67978742668455,Tech_18,Health Center,United States,32.75713573499803,-74.7389026423518,374,Connected,Yes
Log_109,Node_54,Software,38.23626356628066,Tech_19,School,Pacific Ocean,43.24206908599075,-146.6751828673125,16636,Connected,Yes
Log_110,Node_29,Connectivity,36.00857201118125,Tech_20,School,Indian Ocean,-13.105581291156511,87.44136434779375,2566,Connected,Yes
Log_111,Node_10,Connectivity,58.74859779596007,Tech_21,Health Center,Russia,83.25545023596217,110.66448755210403,3207,Connected,Yes
Log_112,Node_75,Hardware,19.5677386913071,Tech_22,Health Center,Indian Ocean,-29.40541215477644,95.34997395235098,6736,Connected,No
Log_113,Node_183,Hardware,76.48269982177555,Tech_23,School,Russia,76.45487525594322,99.76882263560714,9766,Connected,Yes
Log_114,Node_201,Software,79.09864543742916,Tech_24,School,Namibia,-21.64554736014287,21.005986899715936,13290,Connected,Yes
Log_115,Node_154,Software,6.6092663949527,Tech_25,School,Venezuela,6.936198747486657,-67.30956136103441,1329,Connected,Yes
Log_116,Node_151,Connectivity,17.230207539496348,Tech_26,Health Center,Indian Ocean,-57.41197652418311,131.13224276700362,15143,Unconnected,No
Log_117,Node_191,Hardware,58.12895290057413,Tech_27,Government Office,Antarctica,-88.75700722576617,12.854123398170032,6765,Connected,Yes
Log_118,Node_35,Software,33.67899162633034,Tech_28,Government Office,Ireland,53.95210819645638,-14.648232941130914,1525,Connected,Yes
Log_119,Node_192,Software,19.286975563009275,Tech_29,School,Greenland,79.4978724896371,-67.57333344452375,17638,Connected,Yes
Log_120,Node_151,Software,31.812591086921834,Tech_30,Health Center,Indian Ocean,-57.41197652418311,131.13224276700362,15143,Unconnected,No
Log_121,Node_226,Connectivity,47.714644160810266,Tech_1,School,Australia,-51.39104423756883,150.20013883686312,7309,Connected,No
Log_122,Node_127,Hardware,19.833011628689203,Tech_2,Government Office,Pacific Ocean,15.545651048574598,150.09728318542017,2671,Connected,Yes
Log_123,Node_210,Connectivity,4.758345118327059,Tech_3,Government Office,Russia,78.02698167175006,22.35817066930329,6595,Connected,No
Log_124,Node_92,Hardware,42.054757079463,Tech_4,School,Sudan,17.77883847232839,37.63365910922786,15148,Connected,Yes
Log_125,Node_154,Software,93.20028249049275,Tech_5,School,Venezuela,6.936198747486657,-67.30956136103441,1329,Connected,Yes
Log_126,Node_298,Software,61.22856660646474,Tech_6,Government Office,Pacific Ocean,-20.039183097846333,-112.77744121512096,5989,Connected,Yes
Log_127,Node_29,Hardware,15.620862194270645,Tech_7,School,Indian Ocean,-13.105581291156511,87.44136434779375,2566,Connected,Yes
Log_128,Node_186,Hardware,1.3562207672131037,Tech_8,School,Russia,79.75094148128366,40.13124235841872,17576,Connected,Yes
Log_129,Node_146,Software,86.12291916698271,Tech_9,Health Center,Pacific Ocean,9.445411114914634,-114.73451678825356,2073,Unconnected,No
Log_130,Node_298,Software,6.203967448357407,Tech_10,Government Office,Pacific Ocean,-20.039183097846333,-112.77744121512096,5989,Connected,Yes
Log_131,Node_121,Hardware,1.684471219854554,Tech_11,Health Center,Namibia,-22.98245170515904,18.591951365627693,8000,Connected,Yes
Log_132,Node_18,Hardware,70.69844335324561,Tech_12,School,Norway,80.08107941117211,-1.9900868651535573,7327,Connected,No
Log_133,Node_243,Software,67.23866397323867,Tech_13,Health Center,Canada,65.4095106834832,-78.10139036253065,18998,Connected,No
Log_134,Node_168,Connectivity,28.676034180452003,Tech_14,School,Pacific Ocean,-1.2329070798431303,-133.92001614256986,3079,Connected,Yes
Log_135,Node_275,Connectivity,9.437469807373802,Tech_15,School,Greenland,82.25697321863018,-77.09482350282619,13668,Connected,Yes
Log_136,Node_191,Software,45.637269122587696,Tech_16,Government Office,Antarctica,-88.75700722576617,12.854123398170032,6765,Connected,Yes
Log_137,Node_131,Hardware,15.611455742372542,Tech_17,School,India,9.095104348078609,69.76066563945446,1293,Connected,Yes
Log_138,Node_21,Software,41.07261268486626,Tech_18,Health Center,Nepal,29.463823179196535,82.04164994059073,14169,Connected,Yes
Log_139,Node_112,Software,42.19333567121371,Tech_19,School,United States,40.20322706727271,-101.50118497204816,19288,Connected,Yes
Log_140,Node_178,Connectivity,65.20651149325869,Tech_20,School,Pacific Ocean,-66.61701500536083,-134.9489911507235,12438,Unconnected,No
Log_141,Node_125,Connectivity,91.05392197024312,Tech_21,School,Norway,67.1675615651996,3.148166895696903,17575,Connected,Yes
Log_142,Node_196,Hardware,79.80288546714065,Tech_22,School,Atlantic Ocean,32.88556685440419,-39.87855558436769,2023,Unconnected,No
Log_143,Node_77,Hardware,10.739552633139413,Tech_23,School,Pacific Ocean,-65.86997394440247,167.2028741199711,11187,Unconnected,Yes
Log_144,Node_285,Software,25.47945660813681,Tech_24,School,Atlantic Ocean,-7.74533073802624,0.6818793451676584,15842,Unconnected,No
Log_145,Node_133,Connectivity,41.17432863445129,Tech_25,School,Canada,60.54208893606631,-125.87744688226026,4514,Connected,No
Log_146,Node_8,Software,80.07184341925344,Tech_26,School,Norway,78.73012680588968,8.917209166422083,10618,Unconnected,Yes
Log_147,Node_2,Connectivity,15.524349752802763,Tech_27,Health Center,French Polynesia,-25.48424958545918,-157.74848182227538,1403,Connected,Yes
Log_148,Node_195,Connectivity,86.16158813145923,Tech_28,School,Antarctica,-78.01576183337286,-48.48389691629035,9534,Connected,Yes
Log_149,Node_146,Software,91.0452786805498,Tech_29,Health Center,Pacific Ocean,9.445411114914634,-114.73451678825356,2073,Unconnected,No
Log_150,Node_181,Hardware,1.8072456294362549,Tech_30,Health Center,Dominican Republic,16.74506925663185,-71.60601213569117,1116,Connected,Yes
Log_151,Node_110,Software,53.015396917851845,Tech_1,School,Pacific Ocean,50.34551530472044,-145.82447847948728,1077,Connected,Yes
Log_152,Node_189,Connectivity,44.90008688525644,Tech_2,Health Center,China,31.391950583972715,120.7463462762724,7156,Connected,Yes
Log_153,Node_90,Connectivity,88.43729324264581,Tech_3,School,Austria,47.63459567819331,13.143899061583,9371,Connected,Yes
Log_154,Node_39,Hardware,13.244771701592631,Tech_4,School,South Atlantic Ocean,-28.427800455450985,-40.11544161848517,11180,Unconnected,No
Log_155,Node_101,Software,26.71596682746887,Tech_5,Government Office,Pacific Ocean,-19.126094384806592,-159.86926411545127,17157,Connected,Yes
Log_156,Node_60,Hardware,83.69208412249559,Tech_6,School,Myanmar,20.95930402548359,98.20553071564854,16479,Connected,Yes
Log_157,Node_131,Software,77.99162128626888,Tech_7,School,India,9.095104348078609,69.76066563945446,1293,Connected,Yes
Log_158,Node_46,Connectivity,42.39243683746478,Tech_8,Health Center,Australia,-35.56916861268556,154.00558497913107,15472,Unconnected,Yes
Log_159,Node_255,Software,48.96679791762886,Tech_9,School,Pacific Ocean,9.586143019297552,-102.63258672815428,15489,Unconnected,Yes
Log_160,Node_15,Software,17.597881967897777,Tech_10,Health Center,Russia,75.9298216951264,85.44717658889317,5767,Connected,Yes
Log_161,Node_40,Software,59.86019061656797,Tech_11,School,Antarctica,-86.17497735782159,144.2210700811632,1243,Connected,Yes
Log_162,Node_229,Software,68.10969672838752,Tech_12,School,Italy,40.32518340654116,10.873362103071829,15867,Unconnected,Yes
Log_163,Node_285,Hardware,65.65460859605653,Tech_13,School,Atlantic Ocean,-7.74533073802624,0.6818793451676584,15842,Unconnected,No
Log_164,Node_156,Hardware,37.24115782755989,Tech_14,School,China,42.57328774046815,97.7856187205934,16798,Unconnected,Yes
Log_165,Node_67,Connectivity,76.18827742347882,Tech_15,Health Center,Russia,76.09116662674631,-171.968029793321,14157,Unconnected,Yes
Log_166,Node_282,Connectivity,28.215436973579,Tech_16,School,South Africa,-73.75559705979386,25.7556435462198,2178,Unconnected,Yes
Log_167,Node_70,Software,69.29760805827236,Tech_17,Health Center,Pacific Ocean,0.3028851995330086,-163.62076640853672,18999,Connected,No
Log_168,Node_54,Connectivity,83.42333451583178,Tech_18,School,Pacific Ocean,43.24206908599075,-146.6751828673125,16636,Connected,Yes
Log_169,Node_210,Software,58.0657031043481,Tech_19,Government Office,Russia,78.02698167175006,22.35817066930329,6595,Connected,No
Log_170,Node_110,Software,88.80818693494308,Tech_20,School,Pacific Ocean,50.34551530472044,-145.82447847948728,1077,Connected,Yes
Log_171,Node_183,Hardware,8.72735665304581,Tech_21,School,Russia,76.45487525594322,99.76882263560714,9766,Connected,Yes
Log_172,Node_47,Software,30.97945924025965,Tech_22,School,Greenland,82.1733673424431,-70.91839843860608,7366,Unconnected,Yes
Log_173,Node_224,Hardware,59.89685183007296,Tech_23,Health Center,Pacific Ocean,-38.79671036572147,-101.2899074987608,10830,Unconnected,Yes
Log_174,Node_126,Software,36.36904619682695,Tech_24,School,Democratic Republic of the Congo,-9.290096278361986,23.857418236691416,8960,Unconnected,Yes
Log_175,Node_115,Connectivity,9.2058352086435,Tech_25,School,Bolivia,-18.670175256391488,-61.717315856523456,17399,Unconnected,Yes
Log_176,Node_138,Hardware,27.209289649068424,Tech_26,Government Office,Democratic Republic of the Congo,-6.718761068232624,21.57176530069032,7941,Unconnected,Yes
Log_177,Node_244,Connectivity,31.537461127081823,Tech_27,Government Office,Brazil,-23.283543993865564,-38.38243536594979,10970,Unconnected,Yes
Log_178,Node_206,Software,60.37629990348288,Tech_28,School,Canada,60.1015218753449,-130.4410614295831,1284,Connected,Yes
Log_179,Node_285,Hardware,86.4407211600912,Tech_29,School,Atlantic Ocean,-7.74533073802624,0.6818793451676584,15842,Unconnected,No
Log_180,Node_210,Software,83.86058551805972,Tech_30,Government Office,Russia,78.02698167175006,22.35817066930329,6595,Connected,No
Log_181,Node_36,Hardware,25.90006032694434,Tech_1,School,Antarctica,-71.25946604450195,111.39615690856004,5932,Connected,Yes
Log_182,Node_246,Hardware,4.1620100930812,Tech_2,Health Center,Chile,-20.49033902329286,-67.83139175962012,16062,Connected,Yes
Log_183,Node_210,Software,81.2845442592904,Tech_3,Government Office,Russia,78.02698167175006,22.35817066930329,6595,Connected,No
Log_184,Node_99,Software,55.6383330995134,Tech_4,Government Office,South Atlantic Ocean,-60.133439007807766,0.9180440178710968,17113,Connected,Yes
Log_185,Node_120,Hardware,66.32872839749776,Tech_5,School,Iran,32.2558171142185,53.26280285361807,313,Unconnected,Yes
Log_186,Node_229,Hardware,68.7903083762614,Tech_6,School,Italy,40.32518340654116,10.873362103071829,15867,Unconnected,Yes
Log_187,Node_161,Hardware,47.31144501969715,Tech_7,School,Argentina,-45.34505122153871,-61.65917609695924,7724,Connected,Yes
Log_188,Node_9,Software,64.55629816554566,Tech_8,School,South Atlantic Ocean,-43.492342831069685,-29.178955428981283,13261,Unconnected,Yes
Log_189,Node_158,Software,55.56299188559887,Tech_9,Government Office,Canada,59.27167604397803,-113.6956896875958,8591,Connected,Yes
Log_190,Node_20,Software,50.08024850337582,Tech_10,School,South Atlantic Ocean,-56.44627595204656,3.653382984386468,372,Connected,Yes
Log_191,Node_277,Connectivity,24.243041729327302,Tech_11,School,Saudi Arabia,21.62872208933609,55.518560856120814,4077,Unconnected,Yes
Log_192,Node_227,Software,87.75868997213674,Tech_12,Health Center,Antarctica,-71.76688236531375,170.32746347700896,19785,Connected,No
Log_193,Node_197,Hardware,1.9022509674996375,Tech_13,School,South Africa,-48.919680626633685,12.857261830953805,17083,Connected,Yes
Log_194,Node_187,Hardware,74.1584954271687,Tech_14,Health Center,Honduras,16.922292875099302,-82.7220419806183,6118,Connected,Yes
Log_195,Node_198,Software,85.04620121419373,Tech_15,Health Center,Indian Ocean,-17.371968327186224,71.25132534219253,3737,Connected,Yes
Log_196,Node_254,Hardware,74.56959576100583,Tech_16,School,China,41.92949813579765,120.2987570884988,18504,Connected,No
Log_197,Node_114,Software,56.62558753583845,Tech_17,School,South Atlantic Ocean,-54.58329871649511,2.200551098681501,582,Unconnected,Yes
Log_198,Node_48,Hardware,15.821599690811928,Tech_18,School,Antarctica,-73.07680589286497,-51.4689545786664,10911,Connected,Yes
Log_199,Node_21,Hardware,62.96318678845761,Tech_19,Health Center,Nepal,29.463823179196535,82.04164994059073,14169,Connected,Yes
Log_200,Node_111,Software,85.10315480684014,Tech_20,School,Atlantic Ocean,3.171346639475118,-29.73404621371361,17651,Connected,No
Log_201,Node_167,Software,95.98200828332136,Tech_21,School,Pacific Ocean,-12.36645357196808,-124.99769933684092,2442,Connected,Yes
Log_202,Node_66,Connectivity,74.39688760077775,Tech_22,School,Atlantic Ocean,-5.619753422319448,-6.918600453962682,19799,Connected,Yes
Log_203,Node_132,Software,51.81746184031883,Tech_23,Health Center,Pacific Ocean,15.878929702398809,172.35166740472482,7451,Connected,No
Log_204,Node_22,Hardware,55.18667547193594,Tech_24,School,Democratic Republic of the Congo,-9.401139964029468,25.70423899300636,17342,Unconnected,Yes
Log_205,Node_52,Hardware,58.44639757128939,Tech_25,Health Center,Pacific Ocean,13.57399348059836,-105.74641234137964,11917,Connected,Yes
Log_206,Node_76,Software,51.64754186784263,Tech_26,School,Caribbean,18.069729244133725,-62.076332418331816,16509,Connected,Yes
Log_207,Node_251,Hardware,42.60189001954715,Tech_27,School,Saudi Arabia,22.655886073167537,44.940787837129335,7381,Connected,Yes
Log_208,Node_19,Software,88.03032362780995,Tech_28,Health Center,Indian Ocean,-33.30179268551746,81.81633110628297,4777,Connected,Yes
Log_209,Node_29,Connectivity,40.216660123366566,Tech_29,School,Indian Ocean,-13.105581291156511,87.44136434779375,2566,Connected,Yes
